timestamp,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,water_temp,setpoint_temp,mode,heater_on
2025-10-03T17:15:59.779945,100,63,43,73,73,74,53,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:00.783016,100,63,43,73,73,74,54,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:01.784135,100,63,43,73,73,74,55,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:02.778514,100,63,43,73,73,74,56,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:03.778686,100,63,43,73,73,74,57,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:04.778923,100,63,43,73,73,74,58,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:05.781405,100,63,43,73,73,74,59,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:06.779240,100,63,43,73,73,74,0,9,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:07.780770,100,63,43,73,73,74,1,9,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:08.781172,100,63,43,73,73,74,2,9,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:09.783554,100,63,43,73,73,74,3,9,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:10.787525,100,63,43,73,73,74,4,9,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:11.779200,100,63,43,73,73,74,5,9,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:12.778221,100,63,43,73,73,74,6,9,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:13.780498,100,63,43,73,73,74,7,9,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:14.781477,100,63,43,73,73,74,8,9,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:15.781515,100,63,43,73,73,74,9,9,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:16.778206,100,63,43,73,73,74,10,9,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:17.781272,100,63,43,73,73,74,11,9,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:16:18.778795,100,63,43,73,73,74,12,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:19.777640,100,63,43,73,73,74,13,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:20.777592,100,63,43,73,73,74,14,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:21.777061,100,63,43,73,73,74,15,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:22.777658,100,63,43,73,73,74,16,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:23.779696,100,63,43,73,73,74,17,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:24.777262,100,63,43,73,73,74,18,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:25.777029,100,63,43,73,73,74,19,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:26.777353,100,63,43,73,73,74,20,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:27.778952,100,63,43,73,73,74,21,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:28.777558,100,63,43,73,73,74,22,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:29.778122,100,63,43,73,73,74,23,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:30.782571,100,63,43,73,73,74,24,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:31.780869,100,63,43,73,73,74,25,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:32.778669,100,63,43,73,73,74,26,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:33.779766,100,63,43,73,73,74,27,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:34.780599,100,63,43,73,73,74,28,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:35.778021,100,63,43,73,73,74,29,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:36.789660,100,63,43,73,73,74,30,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:37.782022,100,63,43,73,73,74,31,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:38.779158,100,63,43,73,73,74,32,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:39.782566,100,63,43,73,73,74,33,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:40.779043,100,63,43,73,73,74,34,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
2025-10-03T17:16:41.783448,100,63,43,73,73,74,35,9,20,4,1,0,5,0,13,0,17,2,8,193,0,0,169,96,73,0,0,36.5,37.0,UNK,True
